title,actors
图兰朵：魔咒缘起,关晓彤XiaotongGuan/迪伦·斯普罗斯DylanSprouse/姜文WenJiang/...
施剑翘传,周韵
傻瓜照相机,姜文WenJiang
曹操,彭于晏EddiePeng/廖凡FanLiao/姜文WenJiang/周韵YunZhou/许...
父母爱情,凯瑟琳·肯尼迪KathleenKennedy/约翰·诺尔JohnKnoll/KiriHart/江...
邪不压正,费莉西蒂·琼斯FelicityJones/迭戈·鲁纳DiegoLuna/甄子丹DonnieYe...
故事：制作《星球大战外传：侠盗一号》,姜文WenJiang/葛优YouGe/周韵YunZhou/舒淇QiShu/文章Zhang...
星球大战外传：侠盗一号,成龙JackieChan/权相宇Sang-wooKwone/廖凡FanLiao/姚星彤Xingto...
看球记,刘利年HarrisonLiu
最爱,章子怡ZiyiZhang/郭富城AaronKwok/濮存昕CunxinPu/蒋雯丽Wenli...
关云长,甄子丹DonnieYen/姜文WenJiang/孙俪BettySun/方中信AlexFong/...
让子弹飞,姜文WenJiang/葛优YouGe/周润发Yun-FatChow/刘嘉玲CarinaLau/...
海洋,皮尔斯·布鲁斯南PierceBrosnan/雅克·贝汉JacquesPerrin/姜文WenJ...
建国大业,唐国强GuoqiangTang/张国立GuoliZhang/许晴QingXu/刘劲JinLiu...
金婚·风雨情,胡军JunHu/周韵YunZhou/李立群LichunLee/王思懿SiyiWang/涂...
太阳照常升起,房祖名JayceeChan/周韵YunZhou/姜文WenJiang/黄秋生AnthonyWon...
日月凌空,刘晓庆XiaoqingLiu/焦恩俊VincentChiao/马晓伟XiaoweiMa/黄圣依...
大清风云,张丰毅FengyiZhang/许晴SummerXu/姜文WenJiang/孙淳ChunSun/...
长河东流,谢震伟ZhenweiXie/李明MingLi/姜文WenJiang/刘晓庆XiaoqingLiu...
超人总动员,格雷格·T·尼尔森CraigT.Nelson/霍利·亨特HollyHunter/塞缪尔·杰...
一个陌生女人的来信,徐静蕾JingleiXu/姜文WenJiang/黄觉JueHuang/焦晃HuangJiao/...
茉莉花开,章子怡ZiyiZhang/姜文WenJiang/陈冲JoanChen/刘烨YeLiu/陆毅...
天地英雄,姜文WenJiang/赵薇WeiZhao/中井贵一KiichiNakai/王学圻XueqiWa...
我和爸爸,叶大鹰DayingYe/徐静蕾JingleiXu/张元YuanZhang/姜文WenJiang...
绿茶,赵薇WeiZhao/姜文WenJiang/王海珍HaizhenWang/方力均LijunFang...
寻枪,姜文WenJiang/宁静JingNing/伍宇娟YujuanWu/刘小宁XiaoningLiu...
大宅门,斯琴高娃Stchingowa/刘佩琦PeiqiLiu/陈宝国BaoguoChen/蒋雯丽Wen...
鬼子来了,姜文WenJiang/香川照之TeruyukiKagawa/袁丁DingYuan/姜鸿波Hong...
宝莲灯,姜文WenJiang/徐帆FanXu/宁静JingNing/陈佩斯PeisiChen/崔杰...
有话好好说,姜文WenJiang/李保田BaotianLi/瞿颖YingQu/刘信义XinyiLiu/...
宋家皇朝,张曼玉MaggieCheung/邬君梅VivianWu/杨紫琼MichelleYeoh/赵文瑄...
秦颂,姜文WenJiang/葛优YouGe/许晴QingXu/戈治均ZhijunGe/王庆祥...
阳光灿烂的日子,夏雨YuXia/宁静JingNing/陶虹HongTao/耿乐LeGeng/斯琴高娃S...
狭路英豪,姜文WenJiang/万梓良AlexMan/于莉LiYu
北京人在纽约,姜文WenJiang/严晓频XiaopinYan/王姬JiWang/马晓晴XiaoqingMa...
我爱我家,文兴宇XingyuWen/宋丹丹DandanSong/杨立新LiXinYang/梁天TianL...
大太监李莲英,姜文WenJiang/刘晓庆XiaoqingLiu/田少军ShaojunTian/朱旭XuZhu...
本命年,蔡鸿翔HongxiangCai/程琳LinCheng/姜文WenJiang/李耕GengLi/...
红高粱,姜文WenJiang/巩俐LiGong/滕汝骏RujunTeng/钱明MingQian/陈...
春桃,刘晓庆XiaoqingLiu/姜文WenJiang/曹前明QianMingCao/冯汉元Han...
末代皇后,潘虹HongPan/傅艺伟/姜文WenJiang/正华/刘威
花轿泪,姜文/HenryO/BeulahQuo
芙蓉镇,刘晓庆XiaoqingLiu/姜文WenJiang/郑在石ZaishiZheng/张光北Guan...
晓说2017,高晓松XiaosongGao/马未都WeiduMa/吴宇森JohnWoo/徐克HarkTsui...
大自然在说话,林青霞BrigitteLin/张曼玉MaggieCheung/周润发Yun-FatChow/刘德...
造梦者,孟京辉JinghuiMeng/邹静之JingzhiZou/邓小平/柳传志ChuanzhiLiu...
我们的那时·此刻,李屏宾MarkLeePingBing/杜笃之Du-CheTu/张艾嘉SylviaChang/王...
第3届中国电影导演协会年度奖,邓小平/李光耀LeeKuanYew/张艺谋YimouZhang/杨小凯/米开朗基罗...
锵锵三人行,窦文涛WentaoDou/梁文道Man-taoLeung/许子东ZidongXu/马家辉Chi...
